DefaultSC.UTCGregorian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
16 Dec 2025 15:59:45.990   5510.564586838674           3884.473959427589           928.0968873205316           -4.125715396479498           4.836621243970521            4.25427717665923             
16 Dec 2025 15:59:55.990   5468.959457086403           3932.593243843847           970.5798339873661           -4.195222613530853           4.787134211438564            4.24222228377663             
16 Dec 2025 16:00:05.990   5426.66190794388            3980.214625575993           1012.939538137994           -4.264197820083895           4.737041757310092            4.229628935726613            
16 Dec 2025 16:00:15.990   5383.677303036499           4027.33208203821            1055.170623202579           -4.332632323389187           4.686350220116699            4.216498740127063            
16 Dec 2025 16:00:25.990   5340.011092575379           4073.939654403704           1097.267729024605           -4.40051749922941            4.635066012995965            4.202833371987386            
16 Dec 2025 16:00:35.990   5295.668812666727           4120.031448346685           1139.225512533674           -4.467844792979562           4.583195622873529            4.188634573483431            
16 Dec 2025 16:00:45.990   5250.656084610659           4165.601634776113           1181.038648416012           -4.534605720657683           4.530745609636517            4.173904153724146            
16 Dec 2025 16:00:55.990   5204.978614189552           4210.644450561159           1222.701829782592           -4.60079186996602            4.477722605298434            4.158643988509994            
16 Dec 2025 16:01:05.990   5158.642190946038           4255.154199248243           1264.209768834815           -4.666394901322482           4.424133313155656            4.142856020083183            
16 Dec 2025 16:01:15.990   5111.65268745073            4299.125251769618           1305.557197527642           -4.73140654888229            4.369984506935653            4.126542256869795            
16 Dec 2025 16:01:25.990   5064.016058559782           4342.552047143394           1346.738868230108           -4.79581862154973            4.31528302993707             4.109704773213812            
16 Dec 2025 16:01:35.990   5015.738340662386           4385.4290931649             1387.74955438314            -4.85962300397985            4.260035794161784            4.092345709103126            
16 Dec 2025 16:01:45.990   4966.825650918287           4427.750967089365           1428.58405115459            -4.922811657570039           4.20424977943909             4.074467269887574            
16 Dec 2025 16:01:55.990   4917.284186485457           4469.512316305761           1469.237176091417           -4.985376621441358           4.147932032542122            4.05607172598905             
16 Dec 2025 16:02:05.990   4867.120223737988           4510.707859001806           1509.703769768919           -5.04731001340952            4.091089666296645            4.037161412603746            
16 Dec 2025 16:02:15.990   4816.340117474331           4551.332384819994           1549.978696436958           -5.108604030945436           4.033729858682368            4.017738729396583            
16 Dec 2025 16:02:25.990   4764.950300115994           4591.380755504613           1590.056844663086           -5.16925095212523            3.975859851926878            3.997806140187908            
16 Dec 2025 16:02:35.990   4712.957280896775           4630.847905539667           1629.933127972504           -5.229243136569591           3.91748695159235             3.977366172632468            
16 Dec 2025 16:02:45.990   4660.367645042673           4669.728842777619           1669.602485484762           -5.288573026372412           3.858618525655154            3.956421417890749            
16 Dec 2025 16:02:55.990   4607.188052942548           4708.018649058911           1709.05988254715            -5.34723314701859            3.799262003578497            3.934974530292739            
16 Dec 2025 16:03:05.990   4553.42523930968            4745.712480822155           1748.300311364673           -5.405216108290939           3.739424875378215            3.913028226994178            
16 Dec 2025 16:03:15.990   4499.086012334285           4782.805569704971           1787.318791626564           -5.462514605166022           3.679114690681881            3.890585287625297            
16 Dec 2025 16:03:25.990   4444.177252827162           4819.293223135368           1826.110371129238           -5.519121418699013           3.618339057781319            3.867648553932228            
16 Dec 2025 16:03:35.990   4388.705913354513           4855.170824913619           1864.670126395629           -5.575029416897303           3.557105642678689            3.844220929411018            
16 Dec 2025 16:03:45.990   4332.679017364109           4890.433835784575           1902.993163290829           -5.630231555582887           3.495422168126256            3.820305378934388            
16 Dec 2025 16:03:55.990   4276.103658302883           4925.077794000339           1941.07461763396            -5.684720879243406           3.433296412659988            3.79590492837126             
16 Dec 2025 16:04:05.990   4218.986998726053           4959.098315873238           1978.9096558062             -5.738490521871808           3.370736209627099            3.771022664199164            
16 Dec 2025 16:04:15.990   4161.336269397927           4992.491096319053           2016.493475354906           -5.791533707794444           3.307749446207705            3.745661733109485            
16 Dec 2025 16:04:25.990   4103.158768384478           5025.251909390438           2053.821305593743           -5.843843752487729           3.244344062430666            3.719825341605767            
16 Dec 2025 16:04:35.990   4044.461860137804           5057.37660880045            2090.888408198777           -5.895414063383089           3.180528050183794            3.693516755595008            
16 Dec 2025 16:04:45.990   3985.252974572602           5088.86112843618            2127.690077800429           -5.946238140660248           3.116309452218549            3.666739299972068            
16 Dec 2025 16:04:55.990   3925.539606134772           5119.701482862378           2164.221642571253           -5.996309578028733           3.05169636114934             3.639496358197251            
16 Dec 2025 16:05:05.990   3865.329312862255           5149.893767815071           2200.478464809446           -6.045622063497587           2.986696918447564            3.611791371867128            
16 Dec 2025 16:05:15.990   3804.629715438243           5179.434160685073           2236.45594151804            -6.094169380133093           2.921319313430571            3.583627840278626            
16 Dec 2025 16:05:25.990   3743.448496236866           5208.318920991367           2272.149504979695           -6.141945406804686           2.855571782245562            3.555009319986547            
16 Dec 2025 16:05:35.990   3681.793398361482           5236.544390844304           2307.554623327042           -6.188944118918767           2.789462606848669            3.525939424354482            
16 Dec 2025 16:05:45.990   3619.672224675685           5264.106995398573           2342.666801108497           -6.235159589140467           2.723000113979303            3.496421823099237            
16 Dec 2025 16:05:55.990   3557.092836827165           5291.003243295878           2377.481579849486           -6.28058598810329            2.656192674129887            3.466460241828841            
16 Dec 2025 16:06:05.990   3494.063154264523           5317.229727097309           2411.994538609021           -6.325217585106605           2.58904870051111             3.436058461574191            
16 Dec 2025 16:06:15.990   3430.591153247177           5342.783123705321           2446.201294531566           -6.369048748800811           2.521576648012893            3.405220318314387            
16 Dec 2025 16:06:25.990   3366.684865848476           5367.660194775323           2480.097503394114           -6.412073947860373           2.453785012161057            3.373949702495884            
16 Dec 2025 16:06:35.990   3302.352378952147           5391.857787116795           2513.678860148433           -6.454287751644438           2.385682328069961            3.342250558545463            
16 Dec 2025 16:06:45.990   3237.601833242195           5415.372833083932           2546.941099458408           -6.495684830845107           2.317277169391163            3.310126884377136            
16 Dec 2025 16:06:55.990   3172.441422186386           5438.202350955726           2579.879996232425           -6.536259958123279           2.248578147258258            3.277582730893021            
16 Dec 2025 16:07:05.990   3106.879391013428           5460.34344530551            2612.491366150726           -6.576008008732074           2.179593909227995            3.244622201478301            
16 Dec 2025 16:07:15.990   3040.924035683989           5481.793307359873           2644.771066187696           -6.61492396112769            2.110333138217864            3.211249451490274            
16 Dec 2025 16:07:25.990   2974.583701855658           5502.549215346948           2676.714995129004           -6.653002897567773           2.040804551440185            3.177468687741631            
